==================================================================
 n = 22
 t = 16
 s = 6
==================================================================
offset           #collisions     log2(#collisions)
(   0,                  478,         8.9008668080)
(   1,                  496,         8.9541963104)
(   2,                  455,         8.8297227351)
(   3,                  506,         8.9829935747)
(   4,                  438,         8.7747870596)
(   5,                  479,         8.9038818457)
(   6,                  438,         8.7747870596)
(   7,                  456,         8.8328900142)
(   8,                  465,         8.8610869060)
(   9,                  440,         8.7813597135)
(  10,                  450,         8.8137811912)
(  11,                  395,         8.6257088431)
(  12,                  437,         8.7714894695)
(  13,                  388,         8.5999128422)
(  14,                  421,         8.7176764231)
(  15,                  390,         8.6073303137)
(  16,                  400,         8.6438561898)
(  17,                  388,         8.5999128422)
(  18,                  386,         8.5924570373)
(  19,                  385,         8.5887146356)
(  20,                  374,         8.5468944599)
(  21,                  364,         8.5077946402)
(  22,                  400,         8.6438561898)
(  23,                  394,         8.6220518195)
(  24,                  376,         8.5545888517)
(  25,                  296,         8.2094533656)
(  26,                  347,         8.4387918526)
(  27,                  386,         8.5924570373)
(  28,                  351,         8.4553272203)
(  29,                  352,         8.4594316186)
(  30,                  344,         8.4262647547)
(  31,                  347,         8.4387918526)
(  32,                  318,         8.3128829553)
(  33,                  310,         8.2761244053)
(  34,                  342,         8.4178525149)
(  35,                  342,         8.4178525149)
(  36,                  317,         8.3083390301)
(  37,                  295,         8.2045711442)
(  38,                  298,         8.2191685205)
(  39,                  320,         8.3219280949)
(  40,                  290,         8.1799090900)
(  41,                  277,         8.1137421660)
(  42,                  277,         8.1137421660)
(  43,                  283,         8.1446582428)
(  44,                  259,         8.0168082877)
(  45,                  302,         8.2384047393)
(  46,                  296,         8.2094533656)
(  47,                  260,         8.0223678130)
(  48,                  271,         8.0821490414)
(  49,                  283,         8.1446582428)
(  50,                  298,         8.2191685205)
(  51,                  260,         8.0223678130)
(  52,                  278,         8.1189410727)
(  53,                  247,         7.9483672316)
(  54,                  253,         7.9829935747)
(  55,                  262,         8.0334230015)
(  56,                  257,         8.0056245492)
(  57,                  263,         8.0389189893)
(  58,                  233,         7.8641861447)
(  59,                  224,         7.8073549221)
(  60,                  225,         7.8137811912)
(  61,                  239,         7.9008668080)
(  62,                  228,         7.8328900142)
(  63,                  222,         7.7944158664)
==================================================================
# Function call (real) = 3460735
# Function call (if without collision) = 4194304

Takes time: 0.0063558833 mins.

