==================================================================
 n = 31
 t = 22
 s = 8
==================================================================
offset               #images         log2(#images)
(   0,              4190280,        21.9986152192)
(   1,              4186241,        21.9972239386)
(   2,              4182134,        21.9958078575)
(   3,              4178074,        21.9944066143)
(   4,              4173977,        21.9929912201)
(   5,              4169800,        21.9915467573)
(   6,              4165813,        21.9901666487)
(   7,              4161819,        21.9887827921)
(   8,              4157773,        21.9873795635)
(   9,              4153758,        21.9859857358)
(  10,              4149944,        21.9846604380)
(  11,              4145932,        21.9832650234)
(  12,              4142027,        21.9819055272)
(  13,              4137958,        21.9804875713)
(  14,              4134061,        21.9791282459)
(  15,              4130104,        21.9777466799)
(  16,              4126201,        21.9763826704)
(  17,              4122194,        21.9749809724)
(  18,              4118372,        21.9736427194)
(  19,              4114451,        21.9722685109)
(  20,              4110541,        21.9708968529)
(  21,              4106681,        21.9695414549)
(  22,              4102772,        21.9681675521)
(  23,              4098844,        21.9667856521)
(  24,              4094985,        21.9654267366)
(  25,              4091036,        21.9640348019)
(  26,              4087148,        21.9626630552)
(  27,              4083338,        21.9613175615)
(  28,              4079442,        21.9599403983)
(  29,              4075691,        21.9586132465)
(  30,              4071840,        21.9572494422)
(  31,              4067893,        21.9558503010)
(  32,              4064064,        21.9544916909)
(  33,              4060311,        21.9531588044)
(  34,              4056537,        21.9518172167)
(  35,              4052727,        21.9504615651)
(  36,              4048903,        21.9490996500)
(  37,              4045184,        21.9477738962)
(  38,              4041378,        21.9464158660)
(  39,              4037581,        21.9450597721)
(  40,              4033758,        21.9436931033)
(  41,              4029896,        21.9423111768)
(  42,              4026150,        21.9409694923)
(  43,              4022356,        21.9396093428)
(  44,              4018572,        21.9382515000)
(  45,              4014832,        21.9369081890)
(  46,              4011085,        21.9355611083)
(  47,              4007355,        21.9342188889)
(  48,              4003556,        21.9328505555)
(  49,              3999782,        21.9314899403)
(  50,              3996064,        21.9301482585)
(  51,              3992260,        21.9287742500)
(  52,              3988589,        21.9274470394)
(  53,              3984869,        21.9261008666)
(  54,              3981182,        21.9247653952)
(  55,              3977523,        21.9234388423)
(  56,              3973788,        21.9220834768)
(  57,              3970054,        21.9207272001)
(  58,              3966330,        21.9193732846)
(  59,              3962712,        21.9180566890)
(  60,              3959033,        21.9167166621)
(  61,              3955316,        21.9153615291)
(  62,              3951639,        21.9140197256)
(  63,              3948048,        21.9127080994)
(  64,              3944479,        21.9114033262)
(  65,              3940898,        21.9100929788)
(  66,              3937335,        21.9087880358)
(  67,              3933852,        21.9075112507)
(  68,              3930267,        21.9061958936)
(  69,              3926791,        21.9049193832)
(  70,              3923250,        21.9036178401)
(  71,              3919739,        21.9023261635)
(  72,              3916216,        21.9010289087)
(  73,              3912686,        21.8997279054)
(  74,              3909054,        21.8983880836)
(  75,              3905571,        21.8971020572)
(  76,              3902073,        21.8958093375)
(  77,              3898467,        21.8944754917)
(  78,              3894904,        21.8931563391)
(  79,              3891231,        21.8917951967)
(  80,              3887770,        21.8905114411)
(  81,              3884319,        21.8892302564)
(  82,              3880783,        21.8879163342)
(  83,              3877254,        21.8866038189)
(  84,              3873778,        21.8853098471)
(  85,              3870194,        21.8839744550)
(  86,              3866666,        21.8826587201)
(  87,              3863230,        21.8813761413)
(  88,              3859807,        21.8800972803)
(  89,              3856271,        21.8787750101)
(  90,              3852859,        21.8774979591)
(  91,              3849417,        21.8762085333)
(  92,              3845934,        21.8749025742)
(  93,              3842465,        21.8736006882)
(  94,              3839077,        21.8723280658)
(  95,              3835612,        21.8710253580)
(  96,              3832172,        21.8697308846)
(  97,              3828774,        21.8684510745)
(  98,              3825403,        21.8671803107)
(  99,              3822005,        21.8658982350)
( 100,              3818626,        21.8646221972)
( 101,              3815268,        21.8633529707)
( 102,              3811889,        21.8620746787)
( 103,              3808564,        21.8608157086)
( 104,              3805212,        21.8595454022)
( 105,              3801929,        21.8583001596)
( 106,              3798484,        21.8569923137)
( 107,              3795210,        21.8557482857)
( 108,              3791799,        21.8544510596)
( 109,              3788476,        21.8531861778)
( 110,              3785095,        21.8518980794)
( 111,              3781779,        21.8506336267)
( 112,              3778514,        21.8493875375)
( 113,              3775294,        21.8481575676)
( 114,              3772056,        21.8469196638)
( 115,              3768728,        21.8456462446)
( 116,              3765375,        21.8443621218)
( 117,              3762127,        21.8431171208)
( 118,              3758830,        21.8418522376)
( 119,              3755537,        21.8405877812)
( 120,              3752318,        21.8393506673)
( 121,              3748920,        21.8380436089)
( 122,              3745637,        21.8367796601)
( 123,              3742383,        21.8355257826)
( 124,              3739128,        21.8342704285)
( 125,              3735956,        21.8330460332)
( 126,              3732661,        21.8317730585)
( 127,              3729338,        21.8304881277)
( 128,              3726135,        21.8292485142)
( 129,              3722852,        21.8279768331)
( 130,              3719612,        21.8267207082)
( 131,              3716345,        21.8254530072)
( 132,              3713229,        21.8242428603)
( 133,              3709989,        21.8229834786)
( 134,              3706776,        21.8217335052)
( 135,              3703477,        21.8204489469)
( 136,              3700266,        21.8191975544)
( 137,              3697100,        21.8179626357)
( 138,              3693917,        21.8167200196)
( 139,              3690745,        21.8154806320)
( 140,              3687520,        21.8142194435)
( 141,              3684285,        21.8129532356)
( 142,              3681098,        21.8117047277)
( 143,              3677919,        21.8104582765)
( 144,              3674714,        21.8092005399)
( 145,              3671578,        21.8079688186)
( 146,              3668448,        21.8067384045)
( 147,              3665230,        21.8054723023)
( 148,              3662124,        21.8042492111)
( 149,              3659031,        21.8030302078)
( 150,              3656036,        21.8018488456)
( 151,              3652959,        21.8006341306)
( 152,              3649902,        21.7994262974)
( 153,              3646786,        21.7981941115)
( 154,              3643713,        21.7969778979)
( 155,              3640702,        21.7957852270)
( 156,              3637632,        21.7945681699)
( 157,              3634621,        21.7933735043)
( 158,              3631548,        21.7921532183)
( 159,              3628478,        21.7909330921)
( 160,              3625460,        21.7897326259)
( 161,              3622397,        21.7885132378)
( 162,              3619290,        21.7872752794)
( 163,              3616299,        21.7860825358)
( 164,              3613247,        21.7848644495)
( 165,              3610241,        21.7836637161)
( 166,              3607263,        21.7824731810)
( 167,              3604228,        21.7812588469)
( 168,              3601173,        21.7800354774)
( 169,              3598169,        21.7788315185)
( 170,              3595175,        21.7776305668)
( 171,              3592118,        21.7764033123)
( 172,              3589124,        21.7752003368)
( 173,              3586103,        21.7739854952)
( 174,              3583116,        21.7727833195)
( 175,              3580134,        21.7715821561)
( 176,              3577072,        21.7703477268)
( 177,              3574032,        21.7691211209)
( 178,              3571117,        21.7679439708)
( 179,              3568082,        21.7667173403)
( 180,              3565093,        21.7655082810)
( 181,              3562094,        21.7642941575)
( 182,              3559181,        21.7631138714)
( 183,              3556228,        21.7619163918)
( 184,              3553333,        21.7607414663)
( 185,              3550424,        21.7595598943)
( 186,              3547412,        21.7583354654)
( 187,              3544538,        21.7571661662)
( 188,              3541669,        21.7559979552)
( 189,              3538662,        21.7547725367)
( 190,              3535688,        21.7535595418)
( 191,              3532733,        21.7523532854)
( 192,              3529752,        21.7511353928)
( 193,              3526850,        21.7499487873)
( 194,              3523902,        21.7487423727)
( 195,              3521088,        21.7475898532)
( 196,              3518292,        21.7464437933)
( 197,              3515394,        21.7452549627)
( 198,              3512546,        21.7440856882)
( 199,              3509736,        21.7429310854)
( 200,              3506909,        21.7417685642)
( 201,              3504090,        21.7406083993)
( 202,              3501230,        21.7394304066)
( 203,              3498464,        21.7382902154)
( 204,              3495596,        21.7371070258)
( 205,              3492832,        21.7359658223)
( 206,              3489989,        21.7347910586)
( 207,              3487094,        21.7335938240)
( 208,              3484328,        21.7324490089)
( 209,              3481448,        21.7312560443)
( 210,              3478572,        21.7300637515)
( 211,              3475786,        21.7289078292)
( 212,              3472961,        21.7277347792)
( 213,              3470169,        21.7265744942)
( 214,              3467402,        21.7254236772)
( 215,              3464705,        21.7243010896)
( 216,              3461947,        21.7231522075)
( 217,              3459247,        21.7220265992)
( 218,              3456457,        21.7208625473)
( 219,              3453697,        21.7197100871)
( 220,              3450739,        21.7184739276)
( 221,              3447935,        21.7173011465)
( 222,              3445177,        21.7161466743)
( 223,              3442446,        21.7150025930)
( 224,              3439627,        21.7138206940)
( 225,              3436818,        21.7126420238)
( 226,              3434117,        21.7115077620)
( 227,              3431435,        21.7103805960)
( 228,              3428783,        21.7092651715)
( 229,              3425958,        21.7080760344)
( 230,              3423291,        21.7069525045)
( 231,              3420612,        21.7058230378)
( 232,              3417900,        21.7046787570)
( 233,              3415193,        21.7035356800)
( 234,              3412433,        21.7023692896)
( 235,              3409656,        21.7011947625)
( 236,              3406986,        21.7000645884)
( 237,              3404263,        21.6989110676)
( 238,              3401562,        21.6977659546)
( 239,              3398829,        21.6966063490)
( 240,              3396110,        21.6954517579)
( 241,              3393419,        21.6943081461)
( 242,              3390754,        21.6931746896)
( 243,              3388108,        21.6920484324)
( 244,              3385352,        21.6908744186)
( 245,              3382665,        21.6897288772)
( 246,              3380058,        21.6886165719)
( 247,              3377471,        21.6875119515)
( 248,              3374779,        21.6863615986)
( 249,              3372188,        21.6852535383)
( 250,              3369567,        21.6841317818)
( 251,              3366959,        21.6830147227)
( 252,              3364296,        21.6818732128)
( 253,              3361665,        21.6807445322)
( 254,              3358977,        21.6795904863)
( 255,              3356385,        21.6784767814)
==================================================================
# Function call (real) = 962381256
# Function call (if without collision) = 1073741824

Takes time: 7.4238952000 mins.

